id,batch_name
0,yao/18_systems_annotations/marcus/new_batches/batch_1
1,yao/18_systems_annotations/marcus/new_batches/batch_1
2,yao/18_systems_annotations/marcus/new_batches/batch_1
3,yao/18_systems_annotations/marcus/new_batches/batch_1
4,yao/18_systems_annotations/marcus/new_batches/batch_1
5,yao/18_systems_annotations/marcus/new_batches/batch_1
6,yao/18_systems_annotations/marcus/new_batches/batch_1
7,yao/18_systems_annotations/marcus/new_batches/batch_1
8,yao/18_systems_annotations/marcus/new_batches/batch_1
9,yao/18_systems_annotations/marcus/new_batches/batch_1
10,yao/18_systems_annotations/marcus/new_batches/batch_1
11,yao/18_systems_annotations/marcus/new_batches/batch_1
12,yao/18_systems_annotations/marcus/new_batches/batch_1
13,yao/18_systems_annotations/marcus/new_batches/batch_1
14,yao/18_systems_annotations/marcus/new_batches/batch_1
15,yao/18_systems_annotations/marcus/new_batches/batch_1
16,yao/18_systems_annotations/marcus/new_batches/batch_1
17,yao/18_systems_annotations/marcus/new_batches/batch_1
18,yao/18_systems_annotations/marcus/new_batches/batch_1
19,yao/18_systems_annotations/marcus/new_batches/batch_1
20,yao/18_systems_annotations/marcus/new_batches/batch_1
21,yao/18_systems_annotations/marcus/new_batches/batch_1
22,yao/18_systems_annotations/marcus/new_batches/batch_1
23,yao/18_systems_annotations/marcus/new_batches/batch_1
24,yao/18_systems_annotations/marcus/new_batches/batch_1
25,yao/18_systems_annotations/marcus/new_batches/batch_1
26,yao/18_systems_annotations/marcus/new_batches/batch_1
27,yao/18_systems_annotations/marcus/new_batches/batch_1
28,yao/18_systems_annotations/marcus/new_batches/batch_1
29,yao/18_systems_annotations/marcus/new_batches/batch_1
30,yao/18_systems_annotations/marcus/new_batches/batch_1
31,yao/18_systems_annotations/marcus/new_batches/batch_1
32,yao/18_systems_annotations/marcus/new_batches/batch_1
